1,137,335,Afghanistan,7/8/2009,,,,,32,32,99,533,10/30/2009,,,,,,,1,16
2,154,243,Albania,7/22/2009,,,,,3,13,,,,,,,,,,,
3,99,604,Algeria,6/22/2009,,,,2,16,19,123,613,11/30/2009,,,,,,,,3
4,161,244,Andorra,6/29/2009,,,,,1,1,,,,,,,,,,,
5,170,135,Anguilla,8/5/2009,,,,,,1,,,,,,,,,,,
6,101,122,Antigua and Barbuda,6/24/2009,,,,2,3,4,,,,,,,,,,,
7,28,503,Argentina,5/9/2009,,,100,1587,3056,5710,9,203,6/15/2009,,,26,165,465,538,593,613
8,122,124,Aruba,6/3/2009,,,,,13,13,,,,,,,,,,,
9,29,402,Australia,5/9/2009,,,297,4090,22109,24949,11,401,6/19/2009,,,7,67,155,180,186,190
10,9,203,Austria,4/29/2009,,1,1,15,153,192,100,324,11/4/2009,,,,,,,,3
11,163,246,Azerbaijan,7/31/2009,,,,,2,2,108,33,11/13/2009,,,,,,,,2
12,59,111,Bahamas,6/1/2009,,,1,6,29,29,86,116,10/16/2009,,,,,,,4,4
13,48,312,Bahrain,5/27/2009,,,1,15,123,148,68,527,9/2/2009,,,,,1,3,6,7
14,96,326,Bangladesh,6/22/2009,,,,1,30,32,72,528,9/4/2009,,,,,,4,6,6
15,68,114,Barbados,6/5/2009,,,,10,23,39,81,114,10/2/2009,,,,,,1,3,3
16,,,Belarus,,,,,,,,102,326,11/6/2009,,,,,,,,20
17,34,216,Belgium,5/15/2009,,,12,707,1586,1586,40,304,7/31/2009,,,,1,1,2,7,13
18,147,13,Belize,7/16/2009,,,,,23,27,,,,,,,,,,,
19,80,118,Bermuda,6/17/2009,,,,1,4,8,,,,,,,,,,,
20,156,336,Bhutan,6/27/2009,,,,,2,3,,,,,,,,,,,
21,56,509,Bolivia,6/1/2009,,,3,96,946,973,25,209,7/19/2009,,,,9,19,54,56,58
22,124,239,Bosnia and Herzegovina,6/3/2009,,,,,2,10,114,333,11/20/2009,,,,,,,,1
23,145,616,Botswana,7/13/2009,,,,,13,23,,,,,,,,,,,
24,25,502,Brazil,5/8/2009,,,20,680,1958,2959,15,204,7/1/2009,,,1,56,557,899,1368,1528
25,81,119,British Virgin Islands,6/17/2009,,,,1,5,8,,,,,,,,,,,
